"idx","AID","address"
7358,"A795744","Austin (TX)"
7359,"A795745","15117 Decker Lake in Travis (TX)"
7360,"A795746","15117 Decker Lake in Travis (TX)"
7361,"A795749","5511 Blue Fluff Road in Austin (TX)"
7362,"A795750","5511 Blue Fluff Road in Austin (TX)"
7363,"A795751","7919 East William Cannon Drive in Austin (TX)"
7364,"A795752","7919 East William Cannon Drive in Austin (TX)"
7365,"A795753","2916 Chisholm Trail in Austin (TX)"
7366,"A795754","5206 Summer Drive in Austin (TX)"
7367,"A795755","2800 Cararvon Lane in Austin (TX)"
7368,"A795757","Austin (TX)"
7369,"A795759","5617 Jfk Drive in Austin (TX)"
7370,"A795764","6917 Bennett Avenue in Austin (TX)"
7371,"A795767","9300 E Hunters Trce in Austin (TX)"
7372,"A795769","Emerald Forest And Turtle Creek Boulevard in Austin (TX)"
7373,"A795774","Austin (TX)"
7374,"A795776","Austin (TX)"
7375,"A795777","Pflugerville (TX)"
7376,"A795783","Outside Jurisdiction"
7377,"A795786","11249 Slaughter Creek Drive in Austin (TX)"
7378,"A795788","8702 Colonial Drive in Austin (TX)"
7379,"A795791","5701 Johnny Morris Rd in Austin (TX)"
7380,"A795793","1909 Haskell St in Austin (TX)"
7381,"A795795","5701 Johnny Morris Rd in Austin (TX)"
7382,"A795800","Austin (TX)"
7383,"A795803","Austin (TX)"
7384,"A795804","Austin (TX)"
7385,"A795808","7201 Levander Loop in Austin (TX)"
7386,"A795809","4901 Guadalupe Street in Austin (TX)"
7387,"A795811","Austin (TX)"
7388,"A795822","1937 Zach Scott in Austin (TX)"
7389,"A795824","1209 Radcliff Drive in Austin (TX)"
7390,"A795828","Austin (TX)"
7391,"A795829","Austin (TX)"
7392,"A795830","Austin (TX)"
7393,"A795831","Austin (TX)"
7394,"A795832","Austin (TX)"
7395,"A795833","6019 Bluebell Circle in Austin (TX)"
7396,"A795840","Austin (TX)"
7397,"A795840","Woodland And South Ih 35 Svrd in Austin (TX)"
7398,"A795840","501 Brazos St in Austin (TX)"
7399,"A795840","411 Brazos Street in Austin (TX)"
7400,"A795841","Springdale Road And Andtree Boulevard in Austin (TX)"
7401,"A795842","4912 Ih 35 in Austin (TX)"
7402,"A795843","2501 Dies Ranch Road in Travis (TX)"
7403,"A795844","4610 Bucks Run Road in Austin (TX)"
7404,"A795845","4610 Bucks Run Road in Austin (TX)"
7405,"A795846","4610 Bucks Run Road in Austin (TX)"
7406,"A795847","Avenue F And East Koenig in Austin (TX)"
7407,"A795851","Austin (TX)"
7408,"A795854","8805 North Interstate Highway 35 in Austin (TX)"
7409,"A795854","12636 Research Blvd in Austin (TX)"
7410,"A795854","6121 North Interstate 35 Frontage Road in Austin (TX)"
7411,"A795856","8705 High Valley Road in Austin (TX)"
7412,"A795871","1101 Vargas Road in Austin (TX)"
7413,"A795876","Austin (TX)"
7414,"A795878","1310 West Parmer Lane in Austin (TX)"
7415,"A795880","8005 Georgian Drive in Austin (TX)"
7416,"A795884","6914 Providence in Austin (TX)"
7417,"A795885","6914 Providence in Austin (TX)"
7418,"A795886","6914 Providence in Austin (TX)"
7419,"A795887","6914 Providence in Austin (TX)"
7420,"A795888","Austin (TX)"
7421,"A795890","Austin (TX)"
7422,"A795891","Austin (TX)"
7423,"A795892","Austin (TX)"
7424,"A795896","Austin (TX)"
7425,"A795898","809 Huntingdon Place in Austin (TX)"
7426,"A795899","809 Huntingdon Place in Austin (TX)"
7427,"A795900","809 Huntingdon Place in Austin (TX)"
7428,"A795901","809 Huntingdon Place in Austin (TX)"
7429,"A795902","809 Huntingdon Place in Austin (TX)"
7430,"A795906","3400 Harmon Ave in Austin (TX)"
7431,"A795907","Austin (TX)"
7432,"A795908","Austin (TX)"
7433,"A795909","Austin (TX)"
7434,"A795913","7300 Irving Ln in Austin (TX)"
7435,"A795914","Ramble Lane And Brompton in Austin (TX)"
7436,"A795915","Manor (TX)"
7437,"A795916","8900 Parkfield Drive in Austin (TX)"
7438,"A795918","Riverside And Soutn Pleasant Valley in Austin (TX)"
7439,"A795919","Travis (TX)"
7440,"A795919","N Hwy 183 in Austin (TX)"
7441,"A795923","13021 Dessau Road in Austin (TX)"
7442,"A795925","Thompkins Drive And Shropshire Boulevard in Austin (TX)"
7443,"A795927","6Th St & San Antonio St in Austin (TX)"
7444,"A795930","Tillery And Lyons Road in Austin (TX)"
7445,"A795931","4522 Felicity Lane in Austin (TX)"
7446,"A795932","4522 Felicity Lane in Austin (TX)"
7447,"A795933","4522 Felicity Lane in Austin (TX)"
7448,"A795934","4522 Felicity Lane in Austin (TX)"
7449,"A795935","4522 Felicity Lane in Austin (TX)"
7450,"A795937","Escarpment Boulevard And West Slaughter Lane in Austin (TX)"
7451,"A795939","Pleasant Valley And William Cannon in Austin (TX)"
7452,"A795945","Austin (TX)"
7453,"A795947","120 West Slaughter Lane in Austin (TX)"
7454,"A795947","Outside Jurisdiction"
7455,"A795948","9435 Middle Fiskville Rd in Austin (TX)"
7456,"A795950","207 San Jose in Austin (TX)"
7457,"A795951","12809 Dessau Road in Austin (TX)"
7458,"A795953","Austin (TX)"
7459,"A795954","Austin (TX)"
7460,"A795957","4600 Nuckols Crossing Road in Austin (TX)"
7461,"A795966","5817 Seattle Slew Dr. in Austin (TX)"
7462,"A795968","12034 Research Blvd in Austin (TX)"
7463,"A795971","700 East 43Rd Street in Austin (TX)"
7464,"A795973","7612 Marble Crest Drive in Austin (TX)"
7465,"A795975","420 West Slaughter Lane in Austin (TX)"
7466,"A795976","420 West Slaughter Lane in Austin (TX)"
7467,"A795978","5109 Creekline in Austin (TX)"
7468,"A795980","Westlake And 360 in Austin (TX)"
7469,"A795983","3330 Alomar in Austin (TX)"
7470,"A795987","Austin (TX)"
7471,"A795990","1050 Springdale Road in Austin (TX)"
7472,"A795991","Domain Drive in Austin (TX)"
7473,"A795992","1102 West Johanna in Austin (TX)"
7474,"A795992","1011 Brodie Street in Austin (TX)"
7475,"A795992","1102 West Johanna in Austin (TX)"
7476,"A795993","Airport And Springdale in Austin (TX)"
7477,"A795994","Airport And Springdale in Austin (TX)"
7478,"A795997","Ben White Boulevard And Catalina Drive in Austin (TX)"
7479,"A795997","Austin (TX)"
7480,"A795999","14976 Swiss Dr in Travis (TX)"
7481,"A796000","Lago Vista (TX)"
7482,"A796001","10221 Beard Avenue in Austin (TX)"
7483,"A796002","1401 Amberglen in Austin (TX)"
7484,"A796004","Thompson Land And Hergotz in Austin (TX)"
7485,"A796005","Thompson Land And Hergotz in Austin (TX)"
7486,"A796006","Thompson Land And Hergotz in Austin (TX)"
7487,"A796007","6003 Sandshof Drive in Austin (TX)"
7488,"A796008","6003 Sandshof Drive in Austin (TX)"
7489,"A796009","6003 Sandshof Drive in Austin (TX)"
7490,"A796010","6003 Sandshof Drive in Austin (TX)"
7491,"A796011","6003 Sandshof Drive in Austin (TX)"
7492,"A796014","Austin (TX)"
7493,"A796017","Cameron Road And Highway 183 in Austin (TX)"
7494,"A796019","Burleson Road in Austin (TX)"
7495,"A796021","1156 W Cesar Chaves in Austin (TX)"
7496,"A796027","913 Sweet Leaf Drive in Austin (TX)"
7497,"A796028","31St in Austin (TX)"
7498,"A796031","Unknown in Austin (TX)"
7499,"A796032","333 E Slaughter Ln in Austin (TX)"
7500,"A796036","6115 Atwood in Austin (TX)"
7501,"A796038","Austin (TX)"
7502,"A796039","600 Barwood Park in Austin (TX)"
7503,"A796040","1020 E 45Th St in Austin (TX)"
7504,"A796042","116 Gemstone Lane in Travis (TX)"
7505,"A796043","116 Gemstone Lane in Travis (TX)"
7506,"A796046","Norwood Park Blvd in Austin (TX)"
7507,"A796049","4434  Frontier Trail in Austin (TX)"
7508,"A796051","1004 Daniel Drive in Austin (TX)"
7509,"A796051","Austin (TX)"
7510,"A796052","Austin (TX)"
7511,"A796053","11604 Hereford Street in Travis (TX)"
7512,"A796054","309 Montopolis in Austin (TX)"
7513,"A796055","309 Montopolis in Austin (TX)"
7514,"A796059","3412 South Congress Avenue in Austin (TX)"
7515,"A796062","406 Swanee Drive in Austin (TX)"
7516,"A796065","18706 Blake Manor Road in Manor (TX)"
7517,"A796067","Austin (TX)"
7518,"A796068","Austin (TX)"
7519,"A796069","Austin (TX)"
7520,"A796070","Austin (TX)"
7521,"A796072","18706 Blake Manor Road in Manor (TX)"
7522,"A796073","18706 Blake Manor Road in Manor (TX)"
7523,"A796074","18706 Blake Manor Road in Manor (TX)"
7524,"A796075","18706 Blake Manor Road in Manor (TX)"
7525,"A796076","18706 Blake Manor Road in Manor (TX)"
7526,"A796077","18706 Blake Manor Road in Manor (TX)"
7527,"A796078","10604 Topperwein Drive in Austin (TX)"
7528,"A796079","3303 Serene Hills Dr in Travis (TX)"
7529,"A796080","Fm 812 And Highway 183 in Austin (TX)"
7530,"A796085","4100 Westbank Drive in Austin (TX)"
7531,"A796086","11607 Lockhart Rd in Austin (TX)"
7532,"A796087","11607 Lockhart Rd in Austin (TX)"
7533,"A796087","Stassney in Austin (TX)"
7534,"A796088","124 West Anderson Lane in Austin (TX)"
7535,"A796089","3543 Greystone Drive in Austin (TX)"
7536,"A796091","8908 Georgian in Austin (TX)"
7537,"A796092","Interstate 35 And Rundberg Lane in Austin (TX)"
7538,"A796093","8221 N Ih 35 in Austin (TX)"
7539,"A796101","Dee Gabriel Collins Road And Mckinney Falls Parkway in Austin (TX)"
7540,"A796101","Outside Jurisdiction"
7541,"A796102","Dee Gabriel Collins Road And Mckinney Falls Parkway in Austin (TX)"
7542,"A796102","Outside Jurisdiction"
7543,"A796103","Dee Gabriel Collins Road And Mckinney Falls Parkway in Austin (TX)"
7544,"A796103","Outside Jurisdiction"
7545,"A796104","7005 Townborough Drive in Austin (TX)"
7546,"A796105","1101 Camino La Costa in Austin (TX)"
7547,"A796106","1509 Oak Heights Drive in Austin (TX)"
7548,"A796107","5708 Fence in Austin (TX)"
7549,"A796109","17100 Saint Therese in Manor (TX)"
7550,"A796113","11905 B Sunhillow in Austin (TX)"
7551,"A796115","1720 W Wells Branch in Travis (TX)"
7552,"A796116","294 Dry Creek Rd in Manor (TX)"
7553,"A796116","Outside Jurisdiction"
7554,"A796118","294 Dry Creek Rd in Manor (TX)"
7555,"A796118","Austin (TX)"
7556,"A796119","Crazy Horse in Austin (TX)"
7557,"A796120","Crazy Horse in Austin (TX)"
7558,"A796121","Crazy Horse in Austin (TX)"
7559,"A796122","6812 South Congress Avenue in Austin (TX)"
7560,"A796125","2101 Jesse E Segovia Street in Austin (TX)"
7561,"A796127","2602 Monarch Drive in Austin (TX)"
7562,"A796128","2602 Monarch Drive in Austin (TX)"
7563,"A796130","Amherst Drive And West Parmer Lane in Austin (TX)"
7564,"A796131","3601 Bergstrom Dr in Austin (TX)"
7565,"A796140","Us Highway 183 And Georgian Drive in Austin (TX)"
7566,"A796140","Austin (TX)"
7567,"A796140","Austin (TX)"
7568,"A796143","Austin (TX)"
7569,"A796144","Austin (TX)"
7570,"A796145","Austin (TX)"
7571,"A796146","Austin (TX)"
7572,"A796147","Pflugerville (TX)"
7573,"A796156","6008 Sandshof Drive in Austin (TX)"
7574,"A796157","6008 Sandshof Drive in Austin (TX)"
7575,"A796159","Austin (TX)"
7576,"A796162","Edge Park in Austin (TX)"
7577,"A796165","2404 East 13Th Street in Austin (TX)"
7578,"A796166","Highway 290 And Parmer Lane in Manor (TX)"
7579,"A796166","214 Barton Springs Road in Austin (TX)"
7580,"A796180","West Slaughter Lane And Manchaca Road in Austin (TX)"
7581,"A796183","1012 Austin Highlands Boulevard in Austin (TX)"
7582,"A796185","1012 Austin Highlands Boulevard in Austin (TX)"
7583,"A796186","1012 Austin Highlands Boulevard in Austin (TX)"
7584,"A796187","1012 Austin Highlands Boulevard in Austin (TX)"
7585,"A796188","1012 Austin Highlands Boulevard in Austin (TX)"
7586,"A796189","1012 Austin Highlands Boulevard in Austin (TX)"
7587,"A796190","1012 Austin Highlands Boulevard in Austin (TX)"
7588,"A796191","Sea Biscuit Drive And Thunder Gulch in Travis (TX)"
7589,"A796192","Highway 71 And Wolf Lane in Austin (TX)"
7590,"A796193","Outside Jurisdiction"
7591,"A796194","Sendero Hills Parkway And Alsace Trail in Austin (TX)"
7592,"A796195","Sendero Hills Parkway And Alsace Trail in Austin (TX)"
7593,"A796195","Austin (TX)"
7594,"A796195","Austin (TX)"
7595,"A796198","3006 E 17Th in Austin (TX)"
7596,"A796199","4705 Leatherleaf Trail in Austin (TX)"
7597,"A796201","Fm 969 Rd & Blake M in Travis (TX)"
7598,"A796205","8002 Logwood in Austin (TX)"
7599,"A796206","Elroy Road And Kellman Road in Travis (TX)"
7600,"A796206","4100 Victory Drive in Austin (TX)"
7601,"A796206","4100 Victory Drive in Austin (TX)"
7602,"A796209","14972 Swiss Dr in Travis (TX)"
7603,"A796210","Airport in Austin (TX)"
7604,"A796211","Austin (TX)"
7605,"A796212","1819 Rutland Drive in Austin (TX)"
7606,"A796213","1819 Rutland Drive in Austin (TX)"
7607,"A796214","1819 Rutland Drive in Austin (TX)"
7608,"A796216","1819 Rutland Drive in Austin (TX)"
7609,"A796219","2710 Walsh Tarlton Lane in Austin (TX)"
7610,"A796220","16800 Fagerquist Drive in Travis (TX)"
7611,"A796224","Austin (TX)"
7612,"A796225","Austin (TX)"
7613,"A796226","4401 Dovemeadow Dr in Austin (TX)"
7614,"A796229","Thermal Drive And Howard Lane in Austin (TX)"
7615,"A796236","Outside Jurisdiction"
7616,"A796237","11825 Savanna Canyon Ct in Travis (TX)"
7617,"A796238","5400 W Parmer Ln in Austin (TX)"
7618,"A796239","5400 W Parmer Ln in Austin (TX)"
7619,"A796241","5400 W Parmer Ln in Austin (TX)"
7620,"A796242","5400 W Parmer Ln in Austin (TX)"
7621,"A796248","Slayton Drive And Glenn Lane in Austin (TX)"
7622,"A796250","1403 E Applegate Drive in Austin (TX)"
7623,"A796251","Austin (TX)"
7624,"A796255","Austin (TX)"
7625,"A796261","Austin (TX)"
7626,"A796262","10310 Bilbrook in Austin (TX)"
7627,"A796264","408 Colony North in Austin (TX)"
7628,"A796267","Austin (TX)"
7629,"A796271","14000 Westall Street in Austin (TX)"
7630,"A796273","8615 Putnam Dr in Austin (TX)"
7631,"A796279","1071 Clayton Lane in Austin (TX)"
7632,"A796280","Dixie Ln in Austin (TX)"
7633,"A796282","6604 Circulo De Amistad in Austin (TX)"
7634,"A796283","6604 Circulo De Amistad in Austin (TX)"
7635,"A796286","5402 Rose Hill in Austin (TX)"
7636,"A796289","11300 Jollyville in Austin (TX)"
7637,"A796291","Simond in Austin (TX)"
7638,"A796292","Austin (TX)"
7639,"A796295","1607 Colony Creek in Austin (TX)"
7640,"A796299","1912 East William Cannon Drive in Austin (TX)"
7641,"A796300","1912 East William Cannon Drive in Austin (TX)"
7642,"A796301","1912 East William Cannon Drive in Austin (TX)"
7643,"A796305","6901 Wolf Lane in Travis (TX)"
7644,"A796305","Austin (TX)"
7645,"A796306","1819 Rutland Drive in Austin (TX)"
7646,"A796307","1819 Rutland Drive in Austin (TX)"
7647,"A796312","Howard Lane And Mopac in Austin (TX)"
7648,"A796313","13008 Cedarhurst Circle in Austin (TX)"
7649,"A796314","7201 Levander Loop in Austin (TX)"
7650,"A796317","Austin (TX)"
7651,"A796318","5400 Freidrick Ln in Austin (TX)"
7652,"A796318","5400 Freidrick Ln in Austin (TX)"
7653,"A796328","Austin (TX)"
7654,"A796330","Austin (TX)"
7655,"A796331","Austin (TX)"
7656,"A796332","Austin (TX)"
7657,"A796333","Austin (TX)"
7658,"A796334","Austin (TX)"
7659,"A796335","Austin (TX)"
7660,"A796336","Austin (TX)"
7661,"A796337","Austin (TX)"
7662,"A796338","Austin (TX)"
7663,"A796339","Austin (TX)"
7664,"A796340","4700 East Riverside Drive in Austin (TX)"
7665,"A796343","Austin (TX)"
7666,"A796344","Austin (TX)"
7667,"A796346","Morrow And Lamar in Austin (TX)"
7668,"A796347","Morrow And Lamar in Austin (TX)"
7669,"A796349","7928 Springfield Dr in Austin (TX)"
7670,"A796349","Austin (TX)"
7671,"A796351","12504 Piper Court in Austin (TX)"
7672,"A796351","Austin (TX)"
7673,"A796353","7929 Tee Drive in Austin (TX)"
7674,"A796354","7929 Tee Drive in Austin (TX)"
7675,"A796355","7929 Tee Drive in Austin (TX)"
7676,"A796356","7929 Tee Drive in Austin (TX)"
7677,"A796361","Austin (TX)"
7678,"A796365","Austin (TX)"
7679,"A796366","Holly Street And Chicon Street in Austin (TX)"
7680,"A796369","1920 East Riverside in Austin (TX)"
7681,"A796370","7009 Muckenter Lane in Austin (TX)"
7682,"A796371","7009 Muckenter Lane in Austin (TX)"
7683,"A796372","7009 Muckenter Lane in Austin (TX)"
7684,"A796373","7009 Muckenter Lane in Austin (TX)"
7685,"A796375","Berkman Drive And Briarcliff Boulevard in Austin (TX)"
7686,"A796382","Howard Ln & Dessau Rd in Austin (TX)"
7687,"A796384","5300 Jimmy Clay Dr in Austin (TX)"
7688,"A796386","Outside Jurisdiction"
7689,"A796388","2009 Tillotson in Austin (TX)"
7690,"A796389","2725 Dulce Lane in Austin (TX)"
7691,"A796394","7004 Hillcroft in Austin (TX)"
7692,"A796399","Austin (TX)"
7693,"A796402","5609 Kleberg Trail in Austin (TX)"
7694,"A796403","5701 South Congress in Austin (TX)"
7695,"A796410","Bending Bough Trail in Austin (TX)"
7696,"A796412","4501 East Ben White Boulevard in Austin (TX)"
7697,"A796414","Airport in Austin (TX)"
7698,"A796415","520 Cameron Cove in Travis (TX)"
7699,"A796416","520 Cameron Cove in Travis (TX)"
7700,"A796417","520 Cameron Cove in Travis (TX)"
7701,"A796418","520 Cameron Cove in Travis (TX)"
7702,"A796419","520 Cameron Cove in Travis (TX)"
7703,"A796420","2121 Burton Drive in Austin (TX)"
7704,"A796421","6009 Widelead Drive in Travis (TX)"
7705,"A796421","Austin (TX)"
7706,"A796427","1601 Spyglass in Austin (TX)"
7707,"A796430","333 East Slaughter Lane in Austin (TX)"
7708,"A796431","333 East Slaughter Lane in Austin (TX)"
7709,"A796432","333 East Slaughter Lane in Austin (TX)"
7710,"A796434","2304 Rundell Pl in Austin (TX)"
7711,"A796436","Austin (TX)"
7712,"A796437","Austin (TX)"
7713,"A796439","6910 Colony Loop Drive in Austin (TX)"
7714,"A796442","Research Boulevard And Ohlen Road in Austin (TX)"
7715,"A796444","718 East 8Th Street in Austin (TX)"
7716,"A796444","301 East 8Th Street in Austin (TX)"
7717,"A796444","419 E 6Th St in Austin (TX)"
7718,"A796445","Austin (TX)"
7719,"A796446","Austin (TX)"
7720,"A796447","Austin (TX)"
7721,"A796454","6307 Bluff Springs Road in Austin (TX)"
7722,"A796455","6307 Bluff Springs Road in Austin (TX)"
7723,"A796456","Outside Jurisdiction"
7724,"A796459","1705 N Cuernavaca Drive in Austin (TX)"
7725,"A796461","115 Sandra Muraida in Austin (TX)"
7726,"A796469","6104 Wheless Cv in Austin (TX)"
7727,"A796479","4518 Felicity Lane in Austin (TX)"
7728,"A796487","12007 North Lamar in Austin (TX)"
7729,"A796488","7112 Ed Bluestein Boulevard in Austin (TX)"
7730,"A796489","Pflugerville (TX)"
7731,"A796490","Pflugerville (TX)"
7732,"A796491","Parker Lane in Austin (TX)"
7733,"A796502","1106 West Dittmar in Austin (TX)"
7734,"A796506","2003 Holly Street in Austin (TX)"
7735,"A796507","2003 Holly Street in Austin (TX)"
7736,"A796508","San Gabriel And 25Th Street in Austin (TX)"
7737,"A796508","Austin (TX)"
7738,"A796509","Crownover And Heartsmith in Austin (TX)"
7739,"A796509","5804 Burleson Road in Austin (TX)"
7740,"A796510","6934 East Ben White Boulevard in Austin (TX)"
7741,"A796511","Lajitas And High Lonesome in Travis (TX)"
7742,"A796513","South Lamar in Austin (TX)"
7743,"A796514","3200 Century Park Boulevard in Austin (TX)"
7744,"A796515","East Oltorf Street And South Pleasant Valley Road in Austin (TX)"
7745,"A796517","Austin (TX)"
7746,"A796518","1809 Crazyhorse Pass in Travis (TX)"
7747,"A796522","15104 Mallard Green Lane in Austin (TX)"
7748,"A796529","5703 Melody Lane in Austin (TX)"
7749,"A796532","Manor (TX)"
7750,"A796534","2124 Burton Drive in Austin (TX)"
7751,"A796535","2124 Burton Drive in Austin (TX)"
7752,"A796540","8101 Salt Springs Drive in Austin (TX)"
7753,"A796542","1710 Camp Craft Road in Austin (TX)"
7754,"A796543","1908 Matagorda in Austin (TX)"
7755,"A796547","Cedar Park (TX)"
7756,"A796548","Austin (TX)"
7757,"A796552","8216 View Ridge in Austin (TX)"
7758,"A796553","6600 Elm Creek in Austin (TX)"
7759,"A796554","183 And High Meadow in Austin (TX)"
7760,"A796555","6009 Daffodil Dr in Austin (TX)"
7761,"A796556","6009 Daffodil Dr in Austin (TX)"
7762,"A796557","6009 Daffodil Dr in Austin (TX)"
7763,"A796560","Austin (TX)"
7764,"A796564","2250 Ridgepoint Drive in Austin (TX)"
7765,"A796565","Austin (TX)"
7766,"A796567","2602 Monarch Drive in Austin (TX)"
7767,"A796568","2602 Monarch Drive in Austin (TX)"
7768,"A796569","2602 Monarch Drive in Austin (TX)"
7769,"A796570","2602 Monarch Drive in Austin (TX)"
7770,"A796571","2602 Monarch Drive in Austin (TX)"
7771,"A796572","2619 Monarch Dr in Austin (TX)"
7772,"A796573","924 East 53 1/2 Street in Austin (TX)"
7773,"A796578","Grand Ave And Shoreline Dr in Austin (TX)"
7774,"A796582","1012 Neans in Austin (TX)"
7775,"A796584","20640 Cameron Road in Travis (TX)"
7776,"A796585","20640 Cameron Road in Travis (TX)"
7777,"A796592","Tanglewood Forest And Pheasant Run in Austin (TX)"
7778,"A796594","8700 Lucinda in Travis (TX)"
7779,"A796595","8700 Lucinda in Travis (TX)"
7780,"A796596","8700 Lucinda in Travis (TX)"
7781,"A796597","11622 Doyle Overton in Travis (TX)"
7782,"A796601","2203 Onion Creek in Austin (TX)"
7783,"A796605","Austin (TX)"
7784,"A796607","6212 Brown Lane in Austin (TX)"
7785,"A796607","Austin (TX)"
7786,"A796608","6212 Brown Lane in Austin (TX)"
7787,"A796609","6212 Brown Lane in Austin (TX)"
7788,"A796610","6212 Brown Lane in Austin (TX)"
7789,"A796611","6212 Brown Lane in Austin (TX)"
7790,"A796613","Austin (TX)"
7791,"A796617","10401 Doc Holliday Trail in Austin (TX)"
7792,"A796617","Austin (TX)"
7793,"A796619","973 Fm in Travis (TX)"
7794,"A796625","1800 Romford Drive in Austin (TX)"
7795,"A796626","1800 Romford Drive in Austin (TX)"
7796,"A796626","Outside Jurisdiction"
7797,"A796630","13105 Fm 1100 in Manor (TX)"
7798,"A796635","Mt Vernon And Philco in Austin (TX)"
7799,"A796637","Mt Vernon And Philco in Austin (TX)"
7800,"A796638","Mt Vernon And Philco in Austin (TX)"
7801,"A796639","Mt Vernon And Philco in Austin (TX)"
7802,"A796640","Mt Vernon And Philco in Austin (TX)"
7803,"A796641","1325 Fm 973 in Austin (TX)"
7804,"A796642","1325 Fm 973 in Austin (TX)"
7805,"A796643","4501 Kleberg Lane in Austin (TX)"
7806,"A796644","4501 Kleberg Lane in Austin (TX)"
7807,"A796645","4501 Kleberg Lane in Austin (TX)"
7808,"A796646","4501 Kleberg Lane in Austin (TX)"
7809,"A796647","4501 Kleberg Lane in Austin (TX)"
7810,"A796648","3651 South Ih 35 in Austin (TX)"
7811,"A796649","15501 Jacobson Road in Travis (TX)"
7812,"A796650","6108 Turtle Dove in Austin (TX)"
7813,"A796653","Mount Vernon Drive in Austin (TX)"
7814,"A796657","Austin (TX)"
7815,"A796660","Austin (TX)"
7816,"A796664","Austin (TX)"
7817,"A796668","Austin (TX)"
7818,"A796669","Slaughter And Ih35 in Austin (TX)"
7819,"A796670","Slaughter And Ih35 in Austin (TX)"
7820,"A796673","Vargas And Montopolis in Austin (TX)"
7821,"A796674","Austin (TX)"
7822,"A796675","8616 Hillmoore in Austin (TX)"
7823,"A796675","21902 Cold Srpings Drive in Leander (TX)"
7824,"A796676","8616 Hillmoore in Austin (TX)"
7825,"A796677","8700 Lucinda in Travis (TX)"
7826,"A796678","8700 Lucinda in Travis (TX)"
7827,"A796679","High Valley Rd in Austin (TX)"
7828,"A796683","8905 La Siesta Bend in Austin (TX)"
7829,"A796685","11201 Tom Sassman in Travis (TX)"
7830,"A796685","4322 Banister Lane in Austin (TX)"
7831,"A796685","6007 Eureka St in Austin (TX)"
7832,"A796686","Austin (TX)"
7833,"A796687","8807 Thunderbird Road in Austin (TX)"
7834,"A796692","1116 Travis Heights in Austin (TX)"
7835,"A796693","2302 Durwood Street in Austin (TX)"
7836,"A796694","3812 Southway Drive in Austin (TX)"
7837,"A796696","3812 Southway Drive in Austin (TX)"
7838,"A796697","8800 N Ih 35 in Austin (TX)"
7839,"A796703","7310 East Riverside in Austin (TX)"
7840,"A796704","4805 Evans Ave in Austin (TX)"
7841,"A796705","Manor And Wheless in Austin (TX)"
7842,"A796706","51 Street And Duval in Austin (TX)"
7843,"A796707","1912 East William Cannon Drive in Austin (TX)"
7844,"A796708","1912 East William Cannon Drive in Austin (TX)"
7845,"A796709","1912 East William Cannon Drive in Austin (TX)"
7846,"A796710","1912 East William Cannon Drive in Austin (TX)"
7847,"A796712","302 West Grady Drive in Austin (TX)"
7848,"A796714","302 West Grady Drive in Austin (TX)"
7849,"A796719","302 West Grady Drive in Austin (TX)"
7850,"A796721","10815 Fm 2222 Rd in Austin (TX)"
7851,"A796724","3601 S. Congress in Austin (TX)"
7852,"A796725","9501 N 620 Rd in Austin (TX)"
7853,"A796727","9400 Arboretum Blvd in Austin (TX)"
7854,"A796728","Bolm Road And Gardner in Austin (TX)"
7855,"A796729","501 South Hwy 183 in Austin (TX)"
7856,"A796730","501 South Hwy 183 in Austin (TX)"
7857,"A796731","18706 Blake Manor Rd in Manor (TX)"
7858,"A796732","2525 South Lamar in Austin (TX)"
7859,"A796735","6604 Circulo De Amistad in Austin (TX)"
7860,"A796736","6604 Circulo De Amistad in Austin (TX)"
7861,"A796737","6604 Circulo De Amistad in Austin (TX)"
7862,"A796738","6604 Circulo De Amistad in Austin (TX)"
7863,"A796740","10107 Rodriguez in Austin (TX)"
7864,"A796741","700 Pedernales in Austin (TX)"
7865,"A796752","4409 Gaines Ranch in Austin (TX)"
7866,"A796753","Unknown in Austin (TX)"
7867,"A796754","4408 Dovehill in Austin (TX)"
7868,"A796759","7201 Levander Loop in Austin (TX)"
7869,"A796761","Pflugerville (TX)"
7870,"A796763","Manor (TX)"
7871,"A796764","8100 Colony Loop in Austin (TX)"
7872,"A796765","124 W Anderson in Austin (TX)"
7873,"A796769","3508 Denwood in Austin (TX)"
7874,"A796771","3508 Denwood in Austin (TX)"
7875,"A796772","3508 Denwood in Austin (TX)"
7876,"A796781","Austin (TX)"
7877,"A796782","Austin (TX)"
7878,"A796785","Majestic Elm in Travis (TX)"
7879,"A796786","Congress And 6Th in Austin (TX)"
7880,"A796787","14312 Hunters Bend Rd in Austin (TX)"
7881,"A796788","W 5Th St in Austin (TX)"
7882,"A796788","211 E 3Rd St in Austin (TX)"
7883,"A796789","Pflugerville (TX)"
7884,"A796790","8509 Elroy Road in Travis (TX)"
7885,"A796792","10500 S Ih 35 in Austin (TX)"
7886,"A796793","10500 S Ih 35 in Austin (TX)"
7887,"A796795","Lakeway (TX)"
7888,"A796799","4607 Arapahoe Trl in Austin (TX)"
7889,"A796800","4607 Arapahoe Trl in Austin (TX)"
7890,"A796803","1700 Parmer Lane West in Austin (TX)"
7891,"A796804","Austin (TX)"
7892,"A796805","Austin (TX)"
7893,"A796806","Austin (TX)"
7894,"A796807","Austin (TX)"
7895,"A796808","Austin (TX)"
7896,"A796808","Sandshof Drive And Lucy Cove in Austin (TX)"
